Distance_(pixels),Gray_Value
0,6.774
1,6.557
2,6.478
3,6.435
4,6.304
5,6.148
6,5.939
7,5.852
8,5.696
9,5.600
10,5.443
11,5.235
12,5.330
13,5.043
14,4.957
15,4.800
16,4.591
17,4.652
18,4.339
19,4.348
20,4.043
21,4.200
22,3.800
23,3.904
24,3.583
25,3.565
26,3.348
27,3.157
28,3.070
29,2.957
30,2.835
31,2.826
32,2.791
33,2.591
34,2.557
35,2.487
36,2.348
37,2.252
38,2.183
39,2.139
40,2.174
41,2.087
42,2.078
43,2.017
44,2.174
45,2.200
46,2.026
47,2.148
48,2.026
49,2.113
50,2.070
51,2.000
52,2.304
53,2.383
54,2.217
55,2.296
56,2.313
57,2.409
58,2.487
59,2.565
60,2.530
61,2.617
62,2.774
63,2.904
64,2.870
65,2.904
66,3.009
67,3.139
68,3.157
69,3.548
70,3.487
71,3.435
72,3.678
73,3.583
74,3.670
75,3.730
76,3.748
77,3.800
78,4.096
79,4.096
80,4.000
81,4.122
82,4.217
83,4.330
84,4.183
85,4.313
86,4.365
87,4.339
88,4.443
89,4.409
90,4.417
91,4.426
92,4.391
93,4.400
94,4.461
95,4.504
96,4.565
97,4.417
98,4.330
99,4.383
100,4.322
101,4.339
102,4.261
103,4.157
104,4.070
105,4.043
106,3.983
107,3.991
108,3.835
109,3.783
110,3.800
111,3.652
112,3.730
113,3.478
114,3.417
115,3.252
116,3.183
117,3.052
118,3.009
119,2.904
120,2.748
121,2.809
122,2.783
123,2.765
124,2.722
125,2.522
126,2.278
127,2.348
128,2.296
129,2.252
130,2.122
131,2.061
132,1.939
133,1.913
134,1.791
135,1.704
136,1.783
137,1.600
138,1.617
139,1.626
140,1.522
141,1.443
142,1.374
143,1.443
144,1.409
145,1.313
146,1.357
147,1.365
148,1.200
149,1.104
150,1.052
151,1.226
152,1.261
153,1.104
154,1.130
155,1.130
156,0.991
157,1.052
158,0.783
159,0.887
160,0.913
161,1.104
162,0.887
163,1.009
164,1.174
165,0.957
166,1.009
167,1.043
168,1.043
169,1.096
170,1.026
171,0.939
172,1.009
173,1.139
174,1.183
175,1.070
176,1.391
177,1.270
178,1.357
179,1.304
180,1.304
181,1.470
182,1.504
183,1.522
184,1.504
185,1.652
186,1.600
187,1.670
188,1.678
189,1.791
190,1.826
191,1.870
192,1.835
193,1.930
194,1.991
195,2.270
196,2.165
197,2.348
198,2.313
199,2.322
200,2.609
201,2.574
202,2.557
203,2.748
204,2.757
205,2.904
206,2.757
207,3.052
208,3.122
209,3.226
210,3.217
211,3.235
212,3.400
213,3.278
214,3.400
215,3.348
216,3.513
217,3.574
218,3.470
219,3.704
220,3.730
221,3.687
222,3.722
223,3.922
224,3.835
225,3.817
226,3.957
227,3.939
228,4.009
229,4.035
230,3.809
231,3.904
232,3.904
233,3.800
234,3.713
235,3.757
236,3.826
237,3.670
238,3.843
239,3.783
240,3.557
241,3.548
242,3.461
243,3.426
244,3.374
245,3.330
246,3.435
247,3.374
248,3.157
249,3.043
250,2.896
251,2.904
252,2.913
253,2.965
254,3.000
255,2.826
256,2.904
257,2.765
258,3.009
259,2.930
260,2.765
261,2.730
262,2.913
263,2.896
264,3.087
265,3.165
266,3.165
267,3.391
268,3.574
269,3.652
270,3.887
271,4.226
272,4.278
273,4.739
274,5.130
275,5.165
276,5.565
277,5.765
278,6.296
279,6.757
280,7.226
281,7.722
282,8.096
283,8.696
284,9.217
285,9.670
286,10.348
287,10.791
288,11.565
289,12.348
290,12.748
291,13.609
292,14.304
293,15.087
294,16.035
295,16.678
296,17.383
297,18.017
298,18.826
299,19.852
300,20.548
301,21.704
302,22.209
303,22.965
304,23.809
305,24.687
306,25.287
307,26.478
308,26.983
309,27.783
310,28.504
311,29.435
312,30.357
313,31.026
314,31.704
315,32.209
316,32.643
317,33.530
318,34.148
319,34.496
320,35.304
321,35.704
322,35.991
323,36.174
324,36.791
325,37.157
326,37.243
327,37.374
328,37.530
329,37.400
330,38.270
331,38.217
332,37.600
333,37.652
334,37.478
335,37.122
336,37.078
337,36.496
338,36.296
339,36.235
340,35.617
341,35.070
342,34.296
343,33.870
344,33.452
345,32.730
346,31.991
347,31.496
348,30.896
349,30.165
350,29.139
351,28.130
352,27.374
353,26.617
354,25.930
355,25.035
356,24.252
357,23.157
358,22.496
359,21.635
360,20.878
361,20.557
362,19.096
363,18.678
364,17.739
365,17.217
366,16.452
367,15.852
368,15.652
369,15.043
370,14.426
371,14.226
372,13.974
373,13.774
374,13.548
375,13.574
376,13.591
377,13.617
378,13.730
379,14.070
380,14.400
381,14.800
382,15.235
383,15.617
384,16.339
385,16.965
386,18.330
387,19.113
388,20.096
389,21.209
390,22.661
391,23.913
392,25.217
393,26.817
394,28.287
395,29.930
396,31.504
397,33.496
398,35.478
399,37.235
400,39.191
401,41.452
402,43.130
403,45.139
404,48.096
405,49.922
406,52.087
407,54.148
408,56.626
409,59.139
410,60.922
411,62.922
412,66.000
413,68.157
414,70.391
415,72.374
416,74.791
417,76.800
418,79.217
419,81.522
420,82.835
421,85.043
422,87.070
423,89.191
424,90.600
425,92.443
426,94.017
427,95.391
428,96.183
429,97.287
430,98.878
431,99.609
432,100.313
433,101.104
434,101.904
435,102.548
436,102.643
437,102.913
438,102.643
439,102.496
440,102.557
441,102.000
442,101.557
443,101.643
444,101.061
445,100.304
446,98.696
447,97.496
448,96.791
449,95.322
450,94.009
451,92.322
452,91.183
453,89.278
454,87.052
455,85.670
456,83.339
457,80.991
458,79.661
459,77.557
460,74.809
461,72.452
462,70.417
463,68.087
464,65.730
465,63.322
466,61.452
467,58.687
468,56.670
469,54.487
470,52.296
471,49.965
472,47.591
473,45.852
474,43.435
475,41.548
476,39.635
477,38.174
478,36.313
479,34.704
480,33.409
481,32.226
482,30.504
483,29.278
484,28.209
485,27.139
486,26.765
487,26.148
488,25.826
489,25.417
490,24.904
491,24.817
492,25.200
493,25.209
494,25.757
495,26.235
496,26.617
497,27.443
498,28.365
499,29.304
500,30.765
501,31.965
502,33.270
503,34.765
504,36.504
505,38.487
506,40.104
507,42.191
508,43.896
509,45.965
510,48.496
511,50.635
512,52.617
513,54.800
514,57.957
515,59.852
516,62.635
517,64.713
518,67.643
519,70.113
520,72.635
521,74.983
522,77.765
523,79.922
524,82.426
525,84.835
526,87.470
527,89.913
528,91.557
529,93.957
530,95.504
531,97.130
532,99.713
533,101.157
534,102.843
535,104.035
536,106.574
537,107.557
538,109.026
539,110.365
540,110.678
541,111.226
542,112.026
543,113.000
544,113.365
545,114.522
546,114.017
547,114.217
548,113.722
549,113.157
550,113.791
551,112.748
552,112.061
553,111.261
554,110.443
555,109.348
556,108.017
557,107.157
558,105.939
559,104.261
560,102.661
561,101.026
562,99.478
563,97.626
564,95.478
565,93.687
566,91.643
567,89.852
568,86.809
569,84.739
570,82.426
571,79.948
572,77.522
573,74.887
574,73.583
575,70.861
576,67.487
577,65.200
578,62.965
579,60.617
580,57.443
581,55.391
582,53.365
583,51.139
584,49.209
585,46.983
586,44.513
587,42.470
588,40.600
589,38.774
590,37.339
591,35.696
592,33.896
593,32.609
594,31.296
595,30.243
596,29.122
597,28.374
598,27.409
599,26.887
600,26.009
601,25.635
602,25.565
603,25.261
604,25.504
605,25.617
606,25.704
607,26.052
608,26.826
609,27.313
610,28.104
611,29.409
612,30.148
613,31.452
614,32.922
615,34.313
616,35.774
617,37.270
618,39.061
619,41.209
620,43.096
621,45.383
622,46.991
623,49.435
624,50.748
625,53.130
626,55.565
627,57.843
628,60.383
629,62.304
630,64.809
631,67.200
632,69.730
633,72.383
634,74.078
635,76.130
636,79.035
637,81.191
638,83.365
639,85.200
640,86.374
641,88.391
642,90.965
643,92.800
644,94.243
645,95.461
646,97.078
647,98.652
648,100.183
649,100.991
650,101.348
651,102.148
652,103.061
653,103.557
654,103.609
655,103.774
656,103.887
657,104.252
658,104.365
659,103.722
660,102.739
661,102.600
662,101.896
663,101.200
664,100.261
665,98.835
666,97.983
667,96.783
668,95.096
669,93.539
670,92.330
671,90.600
672,87.983
673,86.635
674,85.287
675,82.678
676,80.583
677,78.478
678,76.600
679,74.513
680,72.635
681,70.113
682,68.148
683,65.722
684,62.739
685,60.470
686,58.530
687,56.374
688,53.487
689,51.539
690,49.113
691,47.070
692,44.983
693,43.000
694,41.443
695,39.191
696,36.957
697,35.017
698,33.348
699,31.748
700,30.035
701,28.313
702,26.870
703,25.374
704,23.991
705,22.809
706,21.557
707,20.887
708,19.730
709,18.861
710,18.217
711,17.600
712,17.035
713,16.122
714,15.635
715,15.496
716,15.183
717,14.983
718,14.774
719,14.835
720,14.922
721,15.000
722,15.287
723,15.704
724,15.791
725,16.226
726,16.696
727,17.243
728,18.096
729,18.522
730,19.226
731,19.922
732,20.217
733,21.070
734,21.930
735,22.687
736,23.757
737,24.670
738,25.296
739,26.070
740,26.722
741,27.730
742,28.626
743,29.270
744,30.235
745,30.835
746,31.817
747,32.522
748,33.139
749,33.843
750,34.783
751,35.252
752,35.617
753,36.409
754,36.539
755,37.191
756,37.461
757,38.052
758,38.235
759,38.661
760,38.722
761,38.887
762,38.843
763,39.183
764,39.243
765,39.330
766,39.070
767,38.983
768,38.765
769,38.313
770,38.296
771,37.974
772,37.217
773,37.130
774,36.609
775,36.078
776,35.643
777,35.000
778,34.174
779,33.539
780,33.470
781,32.600
782,31.522
783,30.887
784,29.965
785,29.635
786,28.783
787,27.704
788,27.009
789,26.043
790,25.339
791,24.435
792,23.870
793,22.713
794,21.983
795,21.043
796,20.365
797,19.583
798,18.583
799,17.617
800,17.061
801,16.209
802,15.696
803,14.913
804,14.104
805,13.374
806,12.487
807,12.148
808,11.539
809,10.939
810,10.261
811,9.591
812,9.087
813,8.913
814,8.313
815,7.896
816,7.330
817,6.878
818,6.591
819,6.383
820,5.939
821,5.713
822,5.461
823,5.139
824,5.078
825,4.817
826,4.522
827,4.391
828,4.339
829,4.096
830,3.991
831,3.826
832,3.957
833,3.835
834,3.922
835,3.739
836,3.791
837,3.809
838,3.670
839,3.591
840,3.870
841,3.739
842,3.904
843,3.913
844,3.965
845,4.139
846,4.070
847,4.139
848,4.122
849,4.217
850,4.322
851,4.348
852,4.287
853,4.617
854,4.417
855,4.461
856,4.583
857,4.496
858,4.504
859,4.574
860,4.652
861,4.548
862,4.600
863,4.600
864,4.774
865,4.539
866,4.626
867,4.470
868,4.591
869,4.530
870,4.487
871,4.339
872,4.339
873,4.339
874,4.313
875,4.270
876,4.183
877,4.061
878,4.061
879,3.948
880,3.939
881,3.843
882,3.652
883,3.557
884,3.487
885,3.504
886,3.339
887,3.296
888,3.383
889,3.122
890,3.087
891,2.861
892,2.983
893,2.826
894,2.583
895,2.557
896,2.600
897,2.409
898,2.400
899,2.330
900,2.322
901,2.226
902,2.104
903,1.983
904,1.913
905,1.991
906,1.739
907,1.826
908,1.704
909,1.591
910,1.739
911,1.539
912,1.296
913,1.487
914,1.400
915,1.287
916,1.296
917,1.148
918,1.261
919,1.243
920,1.348
921,1.252
922,1.061
923,1.270
924,1.270
925,1.148
926,1.087
927,1.148
928,1.000
929,1.122
930,1.052
931,1.043
932,1.052
933,1.104
934,1.026
935,1.261
936,1.200
937,1.096
938,1.235
939,1.070
940,1.157
941,1.043
942,1.113
943,1.052
944,1.313
945,1.287
946,1.209
947,1.235
948,1.339
949,1.348
950,1.409
951,1.435
952,1.574
953,1.574
954,1.687
955,1.774
956,1.704
957,1.696
958,1.765
959,1.904
960,1.748
961,2.122
962,2.130
963,2.130
964,2.226
965,2.296
966,2.243
967,2.200
968,2.391
969,2.539
970,2.609
971,2.557
972,2.835
973,2.757
974,2.965
975,2.783
976,2.965
977,3.078
978,3.087
979,3.391
980,3.304
981,3.478
982,3.539
983,3.530
984,3.687
985,3.643
986,3.696
987,3.835
988,3.948
989,4.017
