Distance_(pixels),Gray_Value
0,5.148
1,5.304
2,5.652
3,5.991
4,6.278
5,6.348
6,6.461
7,6.835
8,6.896
9,6.991
10,7.000
11,7.061
12,7.426
13,7.226
14,7.243
15,7.226
16,7.035
17,7.130
18,6.826
19,6.670
20,6.574
21,6.539
22,6.061
23,5.983
24,5.670
25,5.539
26,5.017
27,4.791
28,4.487
29,4.296
30,4.070
31,3.765
32,3.452
33,3.200
34,2.922
35,2.739
36,2.383
37,2.217
38,2.148
39,1.948
40,1.826
41,1.739
42,1.670
43,1.643
44,1.809
45,1.878
46,1.870
47,2.035
48,2.009
49,2.252
50,2.365
51,2.470
52,2.896
53,3.026
54,3.130
55,3.426
56,3.548
57,3.800
58,4.104
59,4.357
60,4.661
61,4.765
62,4.913
63,5.270
64,5.296
65,5.461
66,5.617
67,5.774
68,5.870
69,6.226
70,6.104
71,6.130
72,6.070
73,6.000
74,6.139
75,5.817
76,5.783
77,5.600
78,5.687
79,5.417
80,5.191
81,5.052
82,5.035
83,4.722
84,4.391
85,4.209
86,4.009
87,3.635
88,3.583
89,3.391
90,3.104
91,2.896
92,2.539
93,2.348
94,2.296
95,2.217
96,2.052
97,1.896
98,1.774
99,1.635
100,1.522
101,1.461
102,1.461
103,1.409
104,1.383
105,1.357
106,1.400
107,1.600
108,1.504
109,1.600
110,1.661
111,1.574
112,2.009
113,1.896
114,2.061
115,2.000
116,2.235
117,2.157
118,2.313
119,2.461
120,2.461
121,2.565
122,2.800
123,2.922
124,2.809
125,2.904
126,2.748
127,2.887
128,2.913
129,2.870
130,2.835
131,2.852
132,2.765
133,2.800
134,2.783
135,2.791
136,2.704
137,2.583
138,2.539
139,2.470
140,2.400
141,2.252
142,2.270
143,2.261
144,2.113
145,1.922
146,2.052
147,1.887
148,1.835
149,1.591
150,1.417
151,1.530
152,1.765
153,1.313
154,1.365
155,1.426
156,1.235
157,1.226
158,0.957
159,1.052
160,1.070
161,1.157
162,0.991
163,1.035
164,1.200
165,1.043
166,0.930
167,1.096
168,1.130
169,1.174
170,1.078
171,0.974
172,0.991
173,1.191
174,1.165
175,1.035
176,1.365
177,1.313
178,1.235
179,1.270
180,1.278
181,1.313
182,1.339
183,1.443
184,1.304
185,1.522
186,1.522
187,1.522
188,1.487
189,1.704
190,1.591
191,1.591
192,1.583
193,1.696
194,1.748
195,1.704
196,1.722
197,1.722
198,1.757
199,1.617
200,2.026
201,1.800
202,1.922
203,1.826
204,1.878
205,1.887
206,1.696
207,1.809
208,1.730
209,1.748
210,1.548
211,1.470
212,1.609
213,1.435
214,1.426
215,1.330
216,1.209
217,1.417
218,1.217
219,1.296
220,1.191
221,1.183
222,1.139
223,1.339
224,1.296
225,1.417
226,1.583
227,1.670
228,1.800
229,1.957
230,1.974
231,2.139
232,2.557
233,2.748
234,2.904
235,3.078
236,3.443
237,3.704
238,4.122
239,4.539
240,4.896
241,5.113
242,5.504
243,5.783
244,6.278
245,6.557
246,6.826
247,7.278
248,7.522
249,7.696
250,8.070
251,8.148
252,8.391
253,8.748
254,9.035
255,8.904
256,9.078
257,9.043
258,9.148
259,8.861
260,8.635
261,8.591
262,8.313
263,8.130
264,8.043
265,7.600
266,7.087
267,6.852
268,6.426
269,6.061
270,5.687
271,5.270
272,4.748
273,4.591
274,4.122
275,3.696
276,3.270
277,3.139
278,2.722
279,2.670
280,2.609
281,2.504
282,2.391
283,2.574
284,2.783
285,2.957
286,3.470
287,3.809
288,4.409
289,5.000
290,5.661
291,6.478
292,7.209
293,8.443
294,9.278
295,10.487
296,11.591
297,12.696
298,13.965
299,15.174
300,16.687
301,18.113
302,19.052
303,20.043
304,21.600
305,22.687
306,23.487
307,24.791
308,25.670
309,26.348
310,26.974
311,27.600
312,28.243
313,28.617
314,28.635
315,28.617
316,28.800
317,28.461
318,28.104
319,27.470
320,27.139
321,26.087
322,25.357
323,24.148
324,23.278
325,22.026
326,20.904
327,19.504
328,17.826
329,16.357
330,15.365
331,13.887
332,12.609
333,11.217
334,9.861
335,8.817
336,7.887
337,6.904
338,6.270
339,5.687
340,5.235
341,5.043
342,5.009
343,5.200
344,5.583
345,6.191
346,7.078
347,8.157
348,9.548
349,10.948
350,12.522
351,14.304
352,16.435
353,18.504
354,20.704
355,23.191
356,25.922
357,28.226
358,30.748
359,33.557
360,36.296
361,39.130
362,41.487
363,44.070
364,46.235
365,48.635
366,50.330
367,52.835
368,54.670
369,56.043
370,56.748
371,58.148
372,59.035
373,58.878
374,59.957
375,59.339
376,59.270
377,58.322
378,57.261
379,55.904
380,54.765
381,52.870
382,50.826
383,48.548
384,45.643
385,43.417
386,41.148
387,38.348
388,35.357
389,32.409
390,29.774
391,26.861
392,24.374
393,21.530
394,19.026
395,16.670
396,14.878
397,12.957
398,11.548
399,10.487
400,9.400
401,9.017
402,8.661
403,8.922
404,9.687
405,10.557
406,12.096
407,13.774
408,15.678
409,18.365
410,21.157
411,24.287
412,27.800
413,31.426
414,35.087
415,39.496
416,43.983
417,48.252
418,52.965
419,57.548
420,61.557
421,66.000
422,70.426
423,74.487
424,78.104
425,81.730
426,84.557
427,87.913
428,90.287
429,92.078
430,94.174
431,95.730
432,96.243
433,96.774
434,96.591
435,95.983
436,94.461
437,93.183
438,90.748
439,88.357
440,85.287
441,82.235
442,78.878
443,75.339
444,71.687
445,67.122
446,62.296
447,57.783
448,53.252
449,48.426
450,44.226
451,39.774
452,35.609
453,31.287
454,27.661
455,24.130
456,21.139
457,18.313
458,16.452
459,14.591
460,13.209
461,12.652
462,12.461
463,12.878
464,13.774
465,15.157
466,17.461
467,19.687
468,22.704
469,26.383
470,30.365
471,34.600
472,39.391
473,44.130
474,49.330
475,54.852
476,60.304
477,65.939
478,71.809
479,77.052
480,82.852
481,88.452
482,92.696
483,97.313
484,102.130
485,105.722
486,109.191
487,112.174
488,114.843
489,117.113
490,118.304
491,119.183
492,119.974
493,119.391
494,119.374
495,117.809
496,115.670
497,112.913
498,109.365
499,106.522
500,102.791
501,98.730
502,93.817
503,88.522
504,83.574
505,78.157
506,72.983
507,67.626
508,61.417
509,56.217
510,51.061
511,45.574
512,40.426
513,35.548
514,31.600
515,27.652
516,23.852
517,20.713
518,18.330
519,16.261
520,14.435
521,13.583
522,13.009
523,13.148
524,13.617
525,14.678
526,15.939
527,18.409
528,20.852
529,23.635
530,26.861
531,30.452
532,34.600
533,38.722
534,42.913
535,47.643
536,52.391
537,56.965
538,62.017
539,67.261
540,71.374
541,75.617
542,80.278
543,84.243
544,87.817
545,92.000
546,95.017
547,96.939
548,98.852
549,100.487
550,102.000
551,102.835
552,102.548
553,102.426
554,102.035
555,100.478
556,99.209
557,96.757
558,94.243
559,91.304
560,87.783
561,83.783
562,79.896
563,75.478
564,70.887
565,66.513
566,62.113
567,57.078
568,52.217
569,47.774
570,43.322
571,38.800
572,34.635
573,30.548
574,27.348
575,24.357
576,21.174
577,18.635
578,16.565
579,15.174
580,13.896
581,13.530
582,13.530
583,14.009
584,15.357
585,16.939
586,18.739
587,21.330
588,24.452
589,27.974
590,32.200
591,36.539
592,41.226
593,46.017
594,51.583
595,56.678
596,62.400
597,68.165
598,73.357
599,78.843
