Distance_(pixels),Gray_Value
0,3.095
1,3.107
2,3.107
3,3.083
4,2.929
5,2.786
6,2.929
7,2.714
8,2.940
9,2.702
10,2.714
11,2.500
12,2.750
13,2.357
14,2.464
15,2.476
16,2.345
17,2.464
18,2.357
19,2.405
20,2.107
21,2.321
22,2.190
23,2.274
24,2.095
25,2.048
26,2.083
27,2.119
28,1.940
29,2.024
30,2.036
31,2.036
32,1.988
33,2.083
34,2.107
35,2.083
36,2.012
37,1.929
38,1.952
39,1.857
40,1.929
41,1.976
42,1.940
43,1.952
44,2.012
45,2.179
46,1.917
47,2.060
48,2.012
49,2.012
50,2.036
51,1.893
52,2.250
53,2.238
54,2.012
55,2.012
56,1.845
57,1.929
58,1.929
59,2.048
60,2.024
61,2.036
62,2.024
63,1.917
64,1.917
65,1.929
66,1.940
67,2.012
68,1.881
69,2.214
70,1.964
71,2.036
72,2.012
73,1.964
74,2.083
75,2.012
76,1.940
77,1.857
78,2.048
79,2.024
80,2.048
81,1.905
82,2.071
83,2.119
84,1.917
85,1.952
86,1.845
87,2.000
88,2.226
89,2.071
90,2.060
91,2.214
92,2.048
93,2.107
94,2.357
95,2.381
96,2.298
97,2.393
98,2.298
99,2.393
100,2.464
101,2.405
102,2.429
103,2.417
104,2.405
105,2.393
106,2.583
107,2.667
108,2.643
109,2.702
110,2.571
111,2.643
112,3.036
113,2.917
114,2.833
115,3.036
116,2.940
117,2.905
118,3.095
119,3.000
120,3.107
121,3.131
122,3.417
123,3.524
124,3.500
125,3.452
126,3.321
127,3.619
128,3.619
129,3.679
130,3.726
131,3.857
132,3.833
133,4.071
134,4.048
135,4.131
136,4.310
137,4.060
138,4.214
139,4.440
140,4.274
141,4.500
142,4.607
143,4.881
144,4.810
145,4.619
146,5.060
147,5.048
148,5.012
149,5.060
150,5.167
151,5.214
152,5.679
153,5.536
154,5.631
155,5.714
156,5.905
157,5.929
158,5.798
159,6.095
160,6.071
161,6.274
162,6.321
163,6.536
164,6.976
165,6.643
166,6.738
167,7.048
168,7.060
169,7.369
170,7.512
171,7.524
172,7.655
173,8.155
174,8.036
175,8.119
176,8.548
177,8.631
178,8.738
179,8.762
180,9.119
181,9.071
182,9.190
183,9.643
184,9.607
185,9.893
186,10.048
187,10.048
188,10.405
189,10.536
190,10.774
191,10.964
192,11.012
193,11.083
194,11.488
195,11.560
196,11.631
197,11.798
198,11.893
199,12.036
200,12.250
201,12.417
202,12.655
203,12.786
204,12.607
205,13.036
206,12.952
207,13.214
208,13.393
209,13.690
210,13.595
211,13.512
212,13.929
213,14.012
214,14.214
215,14.214
216,14.262
217,14.536
218,14.643
219,14.929
220,14.429
221,15.214
222,15.286
223,15.476
224,15.500
225,15.917
226,16.262
227,16.345
228,16.417
229,16.940
230,16.988
231,17.226
232,17.476
233,18.179
234,18.071
235,18.726
236,18.893
237,19.155
238,19.774
239,20.202
240,20.048
241,20.500
242,21.024
243,21.393
244,21.869
245,22.083
246,22.464
247,22.917
248,23.310
249,23.810
250,23.845
251,24.143
252,24.155
253,24.881
254,25.190
255,25.369
256,25.429
257,25.929
258,26.071
259,26.179
260,26.357
261,26.476
262,26.667
263,26.929
264,27.262
265,27.143
266,26.893
267,27.024
268,27.167
269,27.393
270,27.488
271,27.512
272,27.381
273,27.762
274,27.690
