Distance_(pixels),Gray_Value
0,2.9107
1,2.9732
2,2.8661
3,2.9375
4,2.9643
5,2.8125
6,2.8571
7,2.7857
8,2.7857
9,2.7232
10,2.8125
11,2.7946
12,2.8393
13,2.7679
14,2.7768
15,2.7321
16,2.6786
17,2.7857
18,2.7411
19,2.6696
20,2.7857
21,2.8661
22,2.6250
23,2.9107
24,2.7232
25,2.7857
26,2.6786
27,2.7143
28,2.6607
29,2.6964
30,2.6875
31,2.6250
32,2.6875
33,2.8214
34,2.6964
35,2.7768
36,2.6161
37,2.5536
38,2.5982
39,2.6071
40,2.5893
41,2.5536
42,2.5804
43,2.4375
44,2.7232
45,2.7143
46,2.5804
47,2.7143
48,2.4821
49,2.5625
50,2.6607
51,2.4286
52,2.7768
53,2.8125
54,2.5179
55,2.5714
56,2.4196
57,2.4643
58,2.4732
59,2.4643
60,2.5268
61,2.4911
62,2.4286
63,2.5000
64,2.3929
65,2.4375
66,2.4911
67,2.3839
68,2.3839
69,2.5625
70,2.3661
71,2.5268
72,2.4821
73,2.3482
74,2.3929
75,2.3304
76,2.4286
77,2.3571
78,2.4107
79,2.3661
80,2.3304
81,2.4643
82,2.4107
83,2.5625
84,2.3036
85,2.3125
86,2.3661
87,2.3304
88,2.5179
89,2.3571
90,2.3482
91,2.4107
92,2.3839
93,2.3214
94,2.5357
95,2.5625
96,2.5179
97,2.4821
98,2.4464
99,2.5357
100,2.3839
101,2.4107
102,2.3482
103,2.5000
104,2.4018
105,2.3214
106,2.3571
107,2.4464
108,2.3214
109,2.4643
110,2.5000
111,2.4375
112,2.6518
113,2.5625
114,2.5268
115,2.5268
116,2.4375
117,2.5625
118,2.4018
119,2.5089
120,2.4821
121,2.4911
122,2.6875
123,2.6429
124,2.7411
125,2.6607
126,2.4643
127,2.6429
128,2.5804
129,2.6250
130,2.7232
131,2.6964
132,2.6696
133,2.7589
134,2.6429
135,2.6964
136,2.7857
137,2.6875
138,2.7946
139,2.9018
140,2.7589
141,2.6786
142,2.8482
143,3.0446
144,3.0000
145,2.8482
146,3.0536
147,3.1518
148,2.9821
149,2.9107
150,2.9911
151,3.2054
152,3.3839
153,3.2589
154,3.1696
155,3.3125
156,3.1786
157,3.2857
158,3.1339
159,3.4107
160,3.3125
161,3.5446
162,3.4196
163,3.5446
164,3.7232
165,3.4732
166,3.5268
167,3.6518
168,3.7411
169,3.8750
170,3.8839
171,3.8036
172,3.7857
173,4.0089
174,4.0179
175,4.0446
176,4.2054
177,4.2143
178,4.2589
179,4.1339
180,4.4286
181,4.3661
182,4.4554
183,4.6071
184,4.3125
185,4.6607
186,4.5804
187,4.6964
188,4.8393
189,4.9464
190,4.9643
191,5.0179
192,5.0179
193,5.1875
194,5.2946
195,5.2857
196,5.2679
197,5.3571
198,5.4643
199,5.5446
200,5.6429
201,5.7679
202,5.8036
203,5.8929
204,5.9196
205,5.9464
206,6.0982
207,6.1429
208,6.3750
209,6.4107
210,6.5893
211,6.5804
212,6.8036
213,6.6607
214,6.9375
215,6.8839
216,7.0357
217,7.1429
218,6.9643
219,7.2054
220,7.2054
221,7.4286
222,7.5625
223,7.5982
224,7.5893
225,7.9375
226,8.1250
227,8.0000
228,8.2232
229,8.4375
230,8.3482
231,8.2500
232,8.4732
233,8.7232
234,8.6786
235,8.7768
236,9.1607
237,9.1875
238,9.3214
239,9.7321
240,9.3661
241,9.5000
242,9.8929
243,10.0089
244,10.0179
245,10.2054
246,10.1964
247,10.6339
248,10.7143
249,10.7054
250,10.7857
251,10.8304
252,10.9732
253,11.3482
254,11.6071
255,11.4911
256,11.7054
257,11.7857
258,12.0536
259,12.2589
260,12.2857
261,12.4821
262,12.5982
263,12.8214
264,13.2679
265,12.9732
266,13.0446
267,13.4732
268,13.6875
269,13.8214
270,13.7500
271,14.2500
272,14.2857
273,14.6429
274,14.7232
275,14.8571
276,15.0804
277,15.1429
278,15.3839
279,15.7411
280,16.1696
281,16.1339
282,16.2500
283,16.6429
284,16.8304
285,16.9464
286,17.2411
287,17.4107
288,17.6071
289,17.8661
290,18.0982
291,18.2857
292,18.4375
293,18.9286
294,19.1964
295,19.4643
296,19.6875
297,19.7768
298,20.0714
299,20.2500
300,20.3482
301,20.9554
302,20.6071
303,21.2679
304,21.3839
305,21.7679
306,21.8304
307,22.0446
308,22.3214
309,22.4375
310,22.6161
311,23.0179
312,23.1250
313,23.7679
314,23.8304
315,23.8036
316,24.1964
317,24.5268
318,24.7054
319,24.5357
320,25.1339
321,25.3036
322,25.2500
323,25.6339
324,25.8214
325,25.8571
326,25.9107
327,26.0446
328,26.2768
329,26.1964
330,26.9286
331,27.1607
332,27.0714
333,27.3036
334,27.1696
335,27.5357
336,27.7321
337,27.6786
338,27.9018
339,28.1429
340,28.4018
341,28.5893
342,28.5179
343,28.8750
344,28.7946
345,29.1071
346,29.4821
347,29.4464
348,29.8036
349,30.4196
350,30.3839
351,30.3571
352,30.6964
353,30.9286
354,31.2589
355,31.3839
356,31.8929
357,32.2768
358,32.4821
359,32.8571
360,33.5268
361,33.7321
362,33.8661
363,34.3393
364,34.7768
365,35.1964
366,35.8929
367,36.3661
368,37.4554
369,37.6161
370,38.2232
371,38.6250
372,39.3750
373,39.7500
374,40.3929
375,41.0625
376,41.8571
377,42.2411
378,42.9375
379,43.5536
380,44.4554
381,44.8482
382,45.2946
383,45.8750
384,46.0625
385,46.8571
386,47.5536
387,48.3304
388,48.5982
389,49.0982
390,50.0982
391,50.2232
392,50.5357
393,50.8839
394,51.1161
395,51.3393
396,51.5804
397,51.4821
398,52.1339
399,51.9821
400,52.5446
401,52.4018
402,51.8393
403,51.5714
404,51.7232
405,51.8839
406,51.2946
407,50.8036
408,50.6607
409,50.5357
410,49.6786
411,49.4732
412,49.0804
413,48.7143
414,47.6518
415,47.2857
416,46.9554
417,46.1607
418,45.9286
419,45.3036
420,44.5179
421,43.6786
422,43.6429
423,43.2589
424,42.4821
425,42.3125
426,41.9554
427,41.6518
428,40.9821
429,40.8929
430,40.7589
431,40.6696
432,40.7411
433,40.9018
434,41.5625
435,41.3125
436,41.8839
437,42.2589
438,42.8482
439,43.5536
440,44.3304
441,45.2411
442,46.4375
443,47.9911
444,49.1518
445,51.1071
446,51.8482
447,53.4018
448,55.1518
449,56.7500
450,58.4732
451,60.6161
452,62.7768
453,64.4196
454,66.4821
455,68.7232
456,70.1429
457,72.4643
458,74.2411
459,76.4196
460,77.6875
461,79.3125
462,81.0089
463,82.7500
464,84.1607
465,85.2232
466,85.9375
467,86.7946
468,87.4018
469,87.6786
470,88.1518
471,87.6429
472,87.3750
473,87.1696
474,86.2500
475,84.7768
476,83.5446
477,82.4286
478,81.1071
479,78.5893
480,76.9464
481,74.5357
482,71.4107
483,68.5268
484,65.7411
485,62.4643
486,59.5000
487,56.0089
488,53.0982
489,49.4554
490,46.1071
491,42.9464
492,39.7143
493,36.3571
494,33.8482
495,30.8125
496,27.9018
497,25.3571
498,23.0625
499,21.2232
500,19.9464
501,18.3393
502,17.5893
503,16.8304
504,16.5804
505,17.1607
506,17.5268
507,18.6429
508,19.7857
509,21.5000
510,23.9464
511,26.1250
512,28.9821
513,31.6071
514,35.3750
515,38.8393
516,42.2054
517,46.1071
518,50.7321
519,54.8036
520,58.7589
521,62.6250
522,66.5893
523,71.0536
524,74.8393
525,78.8125
526,82.6339
527,86.4018
528,89.3393
529,91.8125
530,93.4375
531,95.1607
532,96.2321
533,97.1518
534,96.8214
535,96.3214
536,96.3214
537,95.2589
538,94.0804
539,92.4107
540,90.2946
541,87.3929
542,84.1786
543,81.0179
544,77.1339
545,73.1875
546,68.8839
547,64.2857
548,59.8036
549,55.3839
550,51.5982
551,47.5625
552,43.4286
553,39.8571
554,36.0804
555,32.8661
556,29.9286
557,26.8661
558,24.3482
559,22.1429
560,20.1339
561,18.7321
562,17.4107
563,16.6518
564,16.3661
565,16.2589
566,16.9196
567,17.6786
568,18.7500
569,20.4732
570,22.1875
571,24.3304
572,26.5268
573,29.2679
574,32.4375
575,35.3839
576,38.6429
577,41.8393
578,44.8750
579,48.6339
580,51.1339
581,54.5893
582,58.4821
583,61.5357
584,65.0804
585,68.2321
586,70.0982
587,73.0446
588,75.5804
589,77.8393
590,79.7232
591,81.6339
592,82.5804
593,84.1696
594,85.6429
595,86.2321
596,87.2679
597,87.6696
598,87.5982
599,87.4018
600,87.0179
601,86.6964
602,85.9821
603,84.8125
604,84.1518
605,82.4732
606,80.9375
607,79.8214
608,78.3214
609,76.7946
610,75.0804
611,73.4554
612,71.4196
613,69.8125
614,67.9464
615,66.4018
616,63.7321
617,62.7232
618,60.5804
619,59.2411
620,57.0536
621,56.1339
622,54.3482
623,52.8125
624,50.8304
625,49.6250
626,48.8839
627,47.5446
628,46.6518
629,45.5000
630,44.7232
631,44.2768
632,43.7589
633,43.2321
634,42.5089
635,42.4732
636,42.4643
637,42.3661
638,42.5179
639,42.1250
640,41.8482
641,42.3125
642,42.7321
643,43.2857
644,43.3750
645,44.0982
646,43.9107
647,44.3661
648,45.1250
649,45.4464
650,45.6964
651,46.1786
652,46.7857
653,47.4643
654,47.7232
655,48.1429
656,48.4464
657,49.3482
658,49.6071
659,49.5000
660,49.9554
661,50.4643
662,50.4821
663,50.9018
664,50.8571
665,51.1071
666,51.1964
667,51.2232
668,51.2054
669,50.9643
670,51.2321
671,51.0893
672,50.6161
673,50.3571
674,50.3839
675,50.0536
676,49.6696
677,49.1696
678,48.7946
679,48.6518
680,48.3482
681,47.9464
682,47.3571
683,46.7946
684,46.0357
685,45.5446
686,45.2054
687,44.5268
688,43.4554
689,42.8393
690,42.4107
691,41.9375
692,41.5000
693,41.0179
694,40.5536
