Distance_(pixels),Gray_Value
0,3.102
1,3.148
2,3.227
3,3.273
4,3.023
5,3.068
6,3.091
7,3.057
8,3.102
9,3.091
10,3.011
11,2.875
12,3.159
13,2.932
14,3.068
15,2.955
16,2.955
17,3.125
18,2.966
19,2.966
20,2.932
21,3.205
22,2.864
23,3.045
24,2.886
25,3.080
26,2.909
27,3.091
28,2.943
29,2.886
30,3.000
31,3.011
32,3.023
33,3.011
34,2.989
35,2.875
36,2.773
37,2.898
38,2.807
39,2.830
40,2.864
41,2.807
42,2.920
43,2.830
44,3.080
45,2.920
46,2.750
47,3.068
48,2.773
49,2.886
50,2.807
51,2.716
52,3.000
53,2.818
54,2.795
55,2.773
56,2.693
57,2.659
58,2.750
59,2.761
60,2.773
61,2.693
62,2.545
63,2.545
64,2.648
65,2.614
66,2.670
67,2.682
68,2.659
69,2.966
70,2.614
71,2.682
72,2.636
73,2.500
74,2.716
75,2.557
76,2.568
77,2.568
78,2.534
79,2.705
80,2.534
81,2.580
82,2.693
83,2.761
84,2.545
85,2.682
86,2.557
87,2.614
88,2.864
89,2.614
90,2.614
91,2.659
92,2.466
93,2.568
94,2.761
95,2.727
96,2.727
97,2.716
98,2.636
99,2.636
100,2.625
101,2.534
102,2.682
103,2.727
104,2.580
105,2.648
106,2.557
107,2.864
108,2.693
109,2.648
110,2.693
111,2.659
112,2.932
113,2.705
114,2.705
115,2.739
116,2.784
117,2.693
118,2.670
119,2.716
120,2.716
121,2.909
122,2.909
123,2.886
124,3.102
125,2.852
126,2.784
127,2.886
128,2.818
129,2.966
130,3.034
131,3.000
132,2.943
133,3.034
134,3.000
135,2.920
136,3.045
137,3.034
138,3.068
139,3.193
140,3.091
141,3.159
142,3.080
143,3.318
144,3.295
145,3.057
146,3.455
147,3.398
148,3.318
149,3.227
150,3.318
151,3.489
152,3.545
153,3.409
154,3.455
155,3.727
156,3.568
157,3.659
158,3.352
159,3.852
160,3.648
161,3.761
162,3.670
163,3.875
164,4.034
