Distance_(pixels),Gray_Value
0,3.326
1,3.292
2,3.337
3,3.225
4,3.270
5,3.258
6,3.180
7,3.213
8,3.157
9,3.213
10,3.045
11,3.146
12,3.348
13,2.933
14,3.112
15,3.124
16,3.022
17,3.191
18,3.011
19,3.157
20,3.090
21,3.202
22,2.955
23,3.191
24,3.022
25,3.045
26,2.944
27,2.966
28,2.809
29,2.854
30,2.989
31,2.921
32,2.876
33,3.112
34,2.966
35,2.865
36,2.798
37,2.910
38,2.820
39,2.607
40,2.843
41,2.753
42,2.831
43,2.640
44,2.899
45,2.854
46,2.742
47,2.798
48,2.618
49,2.708
50,2.697
51,2.506
52,2.944
53,2.809
54,2.629
55,2.539
56,2.528
57,2.506
58,2.562
59,2.663
60,2.596
61,2.551
62,2.360
63,2.438
64,2.449
65,2.427
66,2.337
67,2.472
68,2.258
69,2.663
70,2.315
71,2.292
72,2.427
73,2.303
74,2.270
75,2.258
76,2.180
77,2.191
78,2.326
79,2.326
80,2.169
81,2.258
82,2.427
83,2.427
84,2.101
85,2.124
86,2.292
87,2.067
88,2.449
89,2.202
90,2.169
91,2.225
92,2.011
93,2.135
94,2.281
95,2.157
96,2.360
97,2.202
98,2.191
99,2.135
100,2.022
101,2.056
102,2.022
103,2.079
104,2.090
105,2.090
106,2.034
107,2.292
108,2.191
109,2.180
110,1.989
111,2.112
112,2.258
113,2.247
114,2.157
115,2.146
116,2.146
117,2.236
118,2.157
119,2.011
120,2.000
121,2.169
122,2.169
123,2.315
124,2.528
125,2.247
126,2.180
127,2.258
128,2.303
129,2.348
130,2.371
131,2.416
132,2.348
133,2.528
134,2.326
135,2.326
136,2.517
137,2.326
138,2.472
139,2.506
140,2.393
141,2.517
142,2.539
143,2.730
144,2.719
145,2.584
146,2.888
147,2.742
148,2.674
149,2.652
150,2.652
151,2.787
152,3.034
153,2.831
154,2.843
155,3.146
156,3.034
157,3.045
158,2.933
159,3.124
160,3.022
161,3.326
162,3.270
163,3.360
164,3.427
165,3.348
166,3.281
167,3.382
168,3.539
169,3.640
170,3.596
171,3.483
172,3.652
173,3.865
174,3.876
175,3.730
176,3.944
177,4.112
178,4.011
179,4.045
180,4.191
181,4.169
182,4.270
183,4.371
184,4.315
185,4.506
186,4.404
187,4.607
188,4.663
189,4.764
190,4.944
191,4.910
192,4.831
193,5.079
194,5.079
195,5.202
196,5.258
197,5.393
198,5.517
199,5.551
200,5.787
201,5.775
202,5.854
203,5.989
204,6.112
205,6.169
206,6.157
207,6.348
208,6.584
209,6.787
210,6.708
211,6.652
212,7.079
213,6.978
214,7.247
215,7.045
216,7.315
217,7.528
218,7.506
219,7.809
220,7.753
221,8.056
222,8.011
223,8.360
224,8.438
225,8.607
226,8.753
227,9.045
228,8.978
229,9.202
230,9.236
231,9.315
232,9.708
233,9.820
234,9.798
235,10.101
236,10.225
237,10.337
238,10.573
239,10.843
240,10.472
241,10.685
242,10.989
243,11.191
244,11.315
245,11.360
246,11.573
247,11.775
248,11.775
249,12.157
250,12.045
251,12.315
252,12.180
253,12.449
254,12.820
255,12.719
256,12.899
257,13.067
258,13.326
259,13.292
260,13.056
261,13.393
262,13.472
263,13.719
264,14.022
265,13.753
266,13.663
267,14.112
268,14.247
269,14.348
270,14.337
271,14.685
272,14.663
273,14.955
274,14.978
275,14.966
276,15.258
277,15.292
278,15.258
279,15.640
280,15.978
281,16.315
282,16.303
283,16.562
284,16.719
285,16.787
286,17.169
287,17.191
288,17.742
