x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-03,+3.53737E-03,+19.49788018E+00,+2.96514E-03,+18.85717666E+00
-24.97500E-03,+3.74521E-03,+19.49788018E+00,+3.14122E-03,+18.85717666E+00
-24.95000E-03,+3.71627E-03,+19.49788018E+00,+3.13720E-03,+18.85717666E+00
-24.92500E-03,+4.03386E-03,+19.49788018E+00,+3.44112E-03,+18.86320680E+00
-24.90000E-03,+4.12913E-03,+19.49788018E+00,+3.54403E-03,+18.86973947E+00
-24.87500E-03,+4.55044E-03,+19.49788018E+00,+3.97418E-03,+18.85717666E+00
-24.85000E-03,+4.77918E-03,+19.49788018E+00,+4.14946E-03,+18.86973947E+00
-24.82500E-03,+5.41436E-03,+19.49788018E+00,+4.83087E-03,+18.86973947E+00
-24.80000E-03,+5.66160E-03,+19.50692541E+00,+5.05760E-03,+18.86973947E+00
-24.77500E-03,+6.12350E-03,+19.51044299E+00,+5.53237E-03,+18.86973947E+00
-24.75000E-03,+6.28109E-03,+19.51044299E+00,+5.69278E-03,+18.86973947E+00
-24.72500E-03,+6.48049E-03,+19.51044299E+00,+5.85237E-03,+18.86973947E+00
-24.70000E-03,+6.46280E-03,+19.51044299E+00,+5.86725E-03,+18.86973947E+00
-24.67500E-03,+6.48732E-03,+19.51044299E+00,+5.89418E-03,+18.86973947E+00
-24.65000E-03,+6.28109E-03,+19.51044299E+00,+5.65619E-03,+18.86973947E+00
-24.62500E-03,+6.04592E-03,+19.51044299E+00,+5.44353E-03,+18.86973947E+00
-24.60000E-03,+5.72793E-03,+19.51044299E+00,+5.12112E-03,+18.86973947E+00
-24.57500E-03,+5.47707E-03,+19.50692539E+00,+4.86021E-03,+18.86069426E+00
-24.55000E-03,+5.03044E-03,+19.50893544E+00,+4.42443E-03,+18.86973947E+00
-24.52500E-03,+4.62441E-03,+19.49788018E+00,+3.97418E-03,+18.86973947E+00
-24.50000E-03,+4.25898E-03,+19.49788018E+00,+3.66464E-03,+18.86722692E+00
-24.47500E-03,+4.08531E-03,+19.49788018E+00,+3.43067E-03,+18.85717666E+00
-24.45000E-03,+3.85456E-03,+19.49788018E+00,+3.24172E-03,+18.85717666E+00
-24.42500E-03,+3.55185E-03,+19.49788018E+00,+2.96996E-03,+18.86571935E+00
-24.40000E-03,+3.23868E-03,+19.49788018E+00,+2.61941E-03,+18.86973947E+00
-24.37500E-03,+2.94441E-03,+19.49788018E+00,+2.36212E-03,+18.86973947E+00
-24.35000E-03,+2.69034E-03,+19.49788018E+00,+2.08956E-03,+18.85717666E+00
-24.32500E-03,+2.40049E-03,+19.48531736E+00,+1.78122E-03,+18.85717666E+00
-24.30000E-03,+2.09979E-03,+19.48531736E+00,+1.51790E-03,+18.85717666E+00
-24.27500E-03,+1.70019E-03,+19.48531736E+00,+1.07408E-03,+18.86521683E+00
-24.25000E-03,+1.42481E-03,+19.48280478E+00,+824.43E-06,+18.86973947E+00
-24.22500E-03,+1.08149E-03,+19.47275455E+00,+497.20E-06,+18.85767919E+00
-24.20000E-03,+942.80E-06,+19.46019174E+00,+303.83E-06,+18.85717666E+00
-24.17500E-03,+644.91E-06,+19.43858367E+00,+61.42E-06,+18.85717666E+00
-24.15000E-03,+676.27E-06,+19.42803090E+00,+70.26E-06,+18.86421186E+00
-24.12500E-03,+518.28E-06,+19.39235251E+00,-96.17E-06,+18.85717666E+00
-24.10000E-03,+486.52E-06,+19.36923693E+00,-95.36E-06,+18.85717666E+00
-24.07500E-03,+498.98E-06,+19.34511630E+00,-111.85E-06,+18.86973947E+00
-24.05000E-03,+488.93E-06,+19.30943797E+00,-96.57E-06,+18.85717666E+00
-24.02500E-03,+469.64E-06,+19.28732738E+00,-143.20E-06,+18.85717666E+00
-24.00000E-03,+455.97E-06,+19.27677462E+00,-148.43E-06,+18.86973947E+00
-23.97500E-03,+457.58E-06,+19.24109622E+00,-131.55E-06,+18.86973947E+00
-23.95000E-03,+472.05E-06,+19.16421177E+00,-150.44E-06,+18.86973947E+00
-23.92500E-03,+462.00E-06,+19.10692537E+00,-140.39E-06,+18.85868423E+00
-23.90000E-03,+442.70E-06,+19.08330731E+00,-120.29E-06,+18.86973947E+00
-23.87500E-03,+451.95E-06,+18.98782985E+00,-138.38E-06,+18.86722694E+00
-23.85000E-03,+458.38E-06,+18.89938768E+00,-127.53E-06,+18.86973947E+00
-23.82500E-03,+441.90E-06,+18.84511628E+00,-144.81E-06,+18.86973947E+00
-23.80000E-03,+441.90E-06,+18.72350824E+00,-144.01E-06,+18.86973947E+00
-23.77500E-03,+441.90E-06,+18.65416154E+00,-148.43E-06,+18.85717666E+00
-23.75000E-03,+441.90E-06,+18.50541782E+00,-170.54E-06,+18.86973943E+00
-23.72500E-03,+441.90E-06,+18.42551820E+00,-148.43E-06,+18.85717666E+00
-23.70000E-03,+425.01E-06,+18.29587008E+00,-167.73E-06,+18.86119672E+00
-23.67500E-03,+416.97E-06,+18.19687502E+00,-159.69E-06,+18.86973947E+00
-23.65000E-03,+428.23E-06,+18.07375952E+00,-144.01E-06,+18.86973947E+00
-23.62500E-03,+419.79E-06,+17.93255340E+00,-158.48E-06,+18.86973947E+00
-23.60000E-03,+411.34E-06,+17.85114641E+00,-130.34E-06,+18.86973947E+00
-23.57500E-03,+411.75E-06,+17.70592023E+00,-137.98E-06,+18.86973947E+00
-23.55000E-03,+407.32E-06,+17.57727697E+00,-135.97E-06,+18.86973947E+00
-23.52500E-03,+421.80E-06,+17.44863384E+00,-134.76E-06,+18.86421188E+00
-23.50000E-03,+415.77E-06,+17.28933735E+00,-160.49E-06,+18.85717666E+00
-23.47500E-03,+401.70E-06,+17.11446293E+00,-153.25E-06,+18.86973947E+00
-23.45000E-03,+401.70E-06,+16.95617142E+00,-142.80E-06,+18.86873440E+00
-23.42500E-03,+402.50E-06,+16.81345785E+00,-160.49E-06,+18.85818163E+00
-23.40000E-03,+401.70E-06,+16.66471423E+00,-162.90E-06,+18.85717666E+00
-23.37500E-03,+405.72E-06,+16.49285493E+00,-168.53E-06,+18.85717666E+00
-23.35000E-03,+407.32E-06,+16.37275432E+00,-168.53E-06,+18.85717666E+00
-23.32500E-03,+401.70E-06,+16.24612120E+00,-146.02E-06,+18.85717666E+00
-23.30000E-03,+391.65E-06,+16.09034236E+00,-187.02E-06,+18.85717666E+00
-23.27500E-03,+401.29E-06,+15.95717642E+00,-161.29E-06,+18.85717666E+00
-23.25000E-03,+391.65E-06,+15.84712627E+00,-176.57E-06,+18.85717666E+00
-23.22500E-03,+378.78E-06,+15.68330723E+00,-181.39E-06,+18.85717666E+00
-23.20000E-03,+386.42E-06,+15.56069394E+00,-165.72E-06,+18.85717666E+00
