x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-25.00000E-03,+6.86244E-03,-16.14360879E+00,-49.82726E-03,+7.61895421E+00
-24.97500E-03,+6.81470E-03,-16.00139773E+00,-49.75942E-03,+7.60780471E+00
-24.95000E-03,+6.76696E-03,-15.86003467E+00,-49.60741E-03,+7.59247807E+00
-24.92500E-03,+6.73681E-03,-15.72156105E+00,-49.54334E-03,+7.57526702E+00
-24.90000E-03,+6.73932E-03,-15.58820677E+00,-49.41897E-03,+7.55679968E+00
-24.87500E-03,+6.81847E-03,-15.46521682E+00,-49.29334E-03,+7.53808109E+00
-24.85000E-03,+6.79962E-03,-15.31100828E+00,-49.22927E-03,+7.51427455E+00
-24.82500E-03,+6.76822E-03,-15.19326329E+00,-49.16394E-03,+7.49458234E+00
-24.80000E-03,+6.74183E-03,-15.05862133E+00,-49.05967E-03,+7.47680596E+00
-24.77500E-03,+6.75440E-03,-14.91022309E+00,-48.96168E-03,+7.46295546E+00
-24.75000E-03,+6.69284E-03,-14.77127835E+00,-48.87249E-03,+7.45265395E+00
-24.72500E-03,+6.68153E-03,-14.63522308E+00,-48.73555E-03,+7.44310621E+00
-24.70000E-03,+6.70540E-03,-14.49995298E+00,-48.72550E-03,+7.43751576E+00
-24.67500E-03,+6.73681E-03,-14.36358362E+00,-48.57349E-03,+7.43088887E+00
-24.65000E-03,+6.68279E-03,-14.26785500E+00,-48.50063E-03,+7.42558109E+00
-24.62500E-03,+6.64259E-03,-14.14722055E+00,-48.37626E-03,+7.41763511E+00
-24.60000E-03,+6.59359E-03,-14.04913639E+00,-48.30967E-03,+7.40906099E+00
-24.57500E-03,+6.57977E-03,-13.92130975E+00,-48.23932E-03,+7.39700068E+00
-24.55000E-03,+6.66646E-03,-13.81493412E+00,-48.19409E-03,+7.38038636E+00
-24.52500E-03,+6.64384E-03,-13.69715774E+00,-48.10113E-03,+7.35934364E+00
-24.50000E-03,+6.59234E-03,-13.58723311E+00,-48.01822E-03,+7.34163008E+00
-24.47500E-03,+6.59108E-03,-13.47077583E+00,-47.93153E-03,+7.31835746E+00
-24.45000E-03,+6.57977E-03,-13.34549315E+00,-47.73806E-03,+7.29634113E+00
-24.42500E-03,+6.66394E-03,-13.23393536E+00,-47.69158E-03,+7.27796802E+00
-24.40000E-03,+6.83103E-03,-13.08371551E+00,-47.62374E-03,+7.26144792E+00
-24.37500E-03,+7.01947E-03,-12.95422430E+00,-47.47173E-03,+7.25149188E+00
-24.35000E-03,+7.02450E-03,-12.85475823E+00,-47.37751E-03,+7.23996551E+00
-24.32500E-03,+7.00817E-03,-12.73000947E+00,-47.29334E-03,+7.23525445E+00
-24.30000E-03,+6.98807E-03,-12.59706348E+00,-47.22048E-03,+7.22749691E+00
-24.27500E-03,+6.92525E-03,-12.47137253E+00,-47.13505E-03,+7.22187505E+00
